LOCALISATION RELIEF;LOCALISATION WILAYA;LOCALISATION;LATITUDE;LONGITUDE;NOMBRE DE DEMANDES ENREGISTREES;NOMBRE PLACEMEBNT;NOMBRE POSTE ENREGISTRE
HAUTS PLATEAUX;BATNA;NGAOUS;35.556614;5.5932388;1357;202;219
HAUTS PLATEAUX;BATNA;MDOUKAL;35.127083;5.1640606;182;65;17
HAUTS PLATEAUX;BATNA;BENI FOUDHALA EL HAKANIA;35.39283;6.0467429;36;5;1
HAUTS PLATEAUX;BATNA;SEGGANA;35.32959;5.54073;162;33;80
HAUTS PLATEAUX;BATNA;OULED SELLAM;35.841187;5.793201;211;66;107
HAUTS PLATEAUX;BATNA;CHEMORA;35.625622;6.5996962;328;62;38
HAUTS PLATEAUX;BATNA;LEMCEN;35.531101;6.2375002;130;33;27
HAUTS PLATEAUX;BATNA;BITAM;35.140881;5.3520875;438;152;38
HAUTS PLATEAUX;BATNA;DJEZZAR;35.513893;5.3311653;293;113;44
HAUTS PLATEAUX;BATNA;THENIET EL ABED;35.25;6.1833329;355;61;45
HAUTS PLATEAUX;BATNA;DJERMA;35.685143;6.301343;95;45;104
HAUTS PLATEAUX;BATNA;AIN TOUTA;35.399109;5.9198389;2095;404;453
HAUTS PLATEAUX;BATNA;KSAR BELEZMA;35.706562;5.8775964;135;32;4
HAUTS PLATEAUX;BATNA;GOSBAT;35.639198;5.4568133;350;43;6
HAUTS PLATEAUX;BATNA;TALKHEMT;35.712669;5.7510476;423;106;17
HAUTS PLATEAUX;BATNA;BARIKA;35.384594;5.2893434;3873;1223;1745
HAUTS PLATEAUX;BATNA;OULED AOUF;35.450954;5.7510476;35;5;1
HAUTS PLATEAUX;BATNA;BATNA;35.56102;6.1739116;15348;4895;6764
HAUTS PLATEAUX;BATNA;ZANA EL BEIDA;35.803757;6.1102943;467;162;21
HAUTS PLATEAUX;BATNA;OULED SI SLIMANE;35.585903;5.6668305;283;35;15
HAUTS PLATEAUX;BATNA;BOUMAGUER;35.493061;5.551228;297;44;31
